relative_filepath,class_index,class_name
train/白前/BaiqianBaiqianBaiqian86.jpg,43,白前
train/石榴皮/Shiliupi115.jpg,50,石榴皮
train/干姜/GanjiangGanjiang46.jpg,23,干姜
train/白芷/BaizhiBaizhiBaizhiIMG_20200720_173734.jpg,47,白芷
train/桑椹/Sangshen12.jpg,29,桑椹
train/僵蚕/Jiangcan73.jpg,4,僵蚕
train/白芍/BaishaoBaishaoBaishaoBaishao_28.jpg,46,白芍
train/五加皮/WujiapiWujiapiWujiapiWujiapi_38.jpg,2,五加皮
train/五加皮/WujiapiWujiapiWujiapiWujiapi_114.jpg,2,五加皮
train/肉豆蔻/Roudoukou42.jpg,56,肉豆蔻
train/龙眼肉/Longyanrou69.jpg,92,龙眼肉
train/白扁豆/BaibiandouBaibiandouBaibiandou79.jpg,44,白扁豆
train/荔枝核/Lizhihe43.jpg,65,荔枝核
train/桑椹/Sangshen114.jpg,29,桑椹
train/五加皮/WujiapiWujiapiWujiapiWujiapi_22.jpg,2,五加皮
train/鸡内金/Jineijin75.jpg,86,鸡内金
train/大腹皮/DafupiDafupi74.jpg,12,大腹皮
train/白蔹/BailianBailianBailian41.jpg,49,白蔹
train/白扁豆/BaibiandouBaibiandouBaibiandou117.jpg,44,白扁豆
train/龙眼肉/Longyanrou89.jpg,92,龙眼肉
train/土荆皮/Tujingpi43.jpg,10,土荆皮
train/荔枝核/Lizhihe86.jpg,65,荔枝核
train/山慈菇/Shancigu36.jpg,18,山慈菇
train/桑寄生/SangjishengSangjishengSangjishengSangjisheng_22.jpg,28,桑寄生
train/山奈/Shannai88.jpg,17,山奈
train/金灯笼/Jindenglong11.jpg,81,金灯笼
train/甘草/GancaoGancaoGancaoGancao_82.jpg,41,甘草
train/白芍/BaishaoBaishaoBaishaoIMG_20200724_180244.jpg,46,白芍
train/桑螵蛸/Sangpiaoxiao0.jpg,30,桑螵蛸
train/莲子/Lianzi59.jpg,69,莲子
train/太子参/Taizishen39.jpg,15,太子参
train/浙贝母/ZhebeimuZhebeimuZhebeimuZhebeimu_15.jpg,34,浙贝母
train/银柴胡/Yinchaihu41.jpg,83,银柴胡
train/苍术/CangzhuCangzhuCangzhuIMG_20200720_165919.jpg,60,苍术
train/荆芥穗/Jingjiesui67.jpg,63,荆芥穗
train/蜂房/FengfangFengfang53.jpg,74,蜂房
train/荜拨/BiboBiboBibo94.jpg,66,荜拨
train/白茅根/BaimaogenBaimaogenBaimaogen98.jpg,48,白茅根
train/金灯笼/Jindenglong32.jpg,81,金灯笼
train/白扁豆/BaibiandouBaibiandouBaibiandou97.jpg,44,白扁豆
train/防风/FangfengFangfengFangfengFangfeng_92.jpg,84,防风
train/草豆蔻/CaodoukouCaodoukouCaodoukou26.jpg,64,草豆蔻
train/桑螵蛸/Sangpiaoxiao118.jpg,30,桑螵蛸
train/僵蚕/Jiangcan70.jpg,4,僵蚕
train/川木香/ChuanmuxiangChuanmuxiang59.jpg,20,川木香
train/谷精草/GujingcaoGujingcao79.jpg,75,谷精草
train/谷精草/GujingcaoGujingcao67.jpg,75,谷精草
train/蜂房/FengfangFengfang23.jpg,74,蜂房
train/黄芪/HuangqiHuangqi52.jpg,91,黄芪
train/干姜/GanjiangGanjiang117.jpg,23,干姜
train/浙贝母/ZhebeimuZhebeimuZhebeimuIMG_20200722_171149.jpg,34,浙贝母
train/湖北贝母/Hubeibeimu67.jpg,37,湖北贝母
train/海螵蛸/HaipiaoxiaoHaipiaoxiao31.jpg,35,海螵蛸
train/番泻叶/FanxieyeFanxieye69.jpg,42,番泻叶
train/九香虫/Jiuxiangchong79.jpg,1,九香虫
train/蜂房/FengfangFengfang22.jpg,74,蜂房
train/大腹皮/DafupiDafupi82.jpg,12,大腹皮
train/荜澄茄/BichengqieBichengqieBichengqie90.jpg,67,荜澄茄
train/人参/Renshen12.jpg,3,人参
train/橘核/Juhe1.jpg,32,橘核
train/橘核/Juhe64.jpg,32,橘核
train/龙眼肉/Longyanrou24.jpg,92,龙眼肉
train/五加皮/WujiapiWujiapiWujiapiIMG_20200722_170015.jpg,2,五加皮
train/山奈/Shannai92.jpg,17,山奈
train/白矾/BaifanBaifanBaifan68.jpg,45,白矾
train/干姜/GanjiangGanjiang25.jpg,23,干姜
train/北沙参/BeishashenBeishashenBeishashen90.jpg,7,北沙参
train/莲子心/Lianzixin62.jpg,70,莲子心
train/橘核/Juhe92.jpg,32,橘核
train/甘草/GancaoGancaoGancaoIMG_20200719_172817.jpg,41,甘草
train/谷精草/GujingcaoGujingcao23.jpg,75,谷精草
train/桑椹/Sangshen57.jpg,29,桑椹
train/防风/FangfengFangfengFangfengFangfeng_43.jpg,84,防风
train/谷芽/GuyaGuya33.jpg,76,谷芽
train/鳖甲/BiejiaBiejiaBiejia30.jpg,85,鳖甲
train/藁本/GaobenGaobenGaobenGaoben_38.jpg,73,藁本
train/枸杞子/GouqiziGouqizi21.jpg,25,枸杞子
train/自然铜/Zirantong49.jpg,57,自然铜
train/白扁豆/BaibiandouBaibiandouBaibiandou30.jpg,44,白扁豆
train/莲房/Lianfang31.jpg,71,莲房
train/川牛膝/ChuanniuxiChuanniuxi90.jpg,22,川牛膝
train/木丁香/Mudingxiang119.jpg,24,木丁香
train/莲房/Lianfang52.jpg,71,莲房
train/荆芥穗/Jingjiesui3.jpg,63,荆芥穗
